FixtureId,WTEvent,StartTime,EndTime,Broadcaster,Server,Decoder,DataSource,Sport,Competition,Country,Home,Away,Status
b71bd5f4-f95b-4899-9e1f-5db8a8432ea5, 10077870, 23/09/2026 18:30:00, 23/09/2026 21:30:00,Stadium Feed,Euro141,XVI_CH13,Stats Perform,Ice Hockey, United Kingdom - Elite League - Male, United Kingdom, Guildford Flames, Sheffield Steelers,
9687877f-0fca-4dcd-8582-6220ded3e97f, 10079357, 23/09/2026 18:30:00, 23/09/2026 21:00:00,Stadium Feed,Euro118,FIB_CH04,Stats Perform,Basketball, Europe - Euroleague (W) - Female, Europe, Panathinaikos, Emlak Konut,
93b4114b-f48f-4811-b7af-3fe2c6c7aa33, 10084074, 23/09/2026 18:30:00, 23/09/2026 21:00:00,Infront,Euro201,IGM_INF_DSC_DEFAULT,InFront Streaming,Soccer, World - Uruguay Copa - Mixed, World, Boston River, Fenix,
8e8bb91b-fdfb-4303-b233-625379751b16, 10077869, 23/09/2026 18:30:00, 23/09/2026 21:30:00,Stadium Feed,Euro142,XVI_CH14,Stats Perform,Ice Hockey, United Kingdom - Elite League - Male, United Kingdom, Manchester Storm, Glasgow Clan,
7ca11eaa-6f3c-4fb1-8e91-dc19b410787a, 10083824, 23/09/2026 18:30:00, 23/09/2026 21:00:00,Stadium Feed,Euro1,Not Set,Stats Perform,Soccer, England - Players Cup - Female, England, Leicester City, London City Lionesses,
51d7be7f-2b9d-471b-80dc-21f12fe100d0, 10083822, 23/09/2026 18:45:00, 23/09/2026 21:15:00,Stadium Feed,Euro1,Not Set,Stats Perform,Soccer, England - Players Cup - Female, England, Brighton & Hove Albion, Charlton Athletic,
9e4aaa4e-4920-4553-8c7d-77937c6f7d9c, 10083704, 23/09/2026 19:00:00, 23/09/2026 21:30:00,L Equipe [79/321] SD,Euro18,FRA-1,Stats Perform,Soccer, Europe - UEFA Women's Champions League - Female, Europe, Barcelona, Paris FC,
9d4e8e6b-4c26-4d12-8df9-75e8826bb9fb, 10080055, 23/09/2026 19:00:00, 23/09/2026 21:30:00,Stadium Feed,Euro124,MPR_CH01,Stats Perform,Soccer, N/C America - Concacaf Nations League - Male, N/C America, Turks and Caicos Islands, Montserrat,
9a260fc3-6419-4160-bb58-8729909d6c56, 10083864, 23/09/2026 19:00:00, 23/09/2026 21:30:00,beIN Sports Xtra 1 - ME,Israel7,Not Set,Stats Perform,Soccer, Europe - UEFA Women's Champions League - Female, Europe, Chelsea, Austria Wien,
115eebc1-ea94-48c0-8b98-2e6d4f8b6572, 10082992, 23/09/2026 19:00:00, 23/09/2026 21:30:00,Stadium Feed,Euro127,SMP_CH08,Stats Perform,Soccer, Paraguay - Copa Paraguay - Male, Paraguay, Sportivo San Lorenzo, 4 de Mayo,
, 10085109, 23/09/2026 19:00:00, 23/09/2026 21:30:00,NRK 2 [2],Euro62,SCAND-2 N,Stats Perform,Soccer, Europe - UEFA Women's Champions League - Female, Europe, Barcelona, Paris FC,
86ce824f-a822-4505-8194-a355a5e51d02, 10083586, 23/09/2026 19:05:00, 23/09/2026 21:35:00,Yes Sport 1 - [63],Israel11,POL-1,Stats Perform,Volleyball, Europe - European Championship - Male, Europe, Italy, Finland,
9a780a7e-38dc-41dc-aa4f-935a88facb59, 10085260, 23/09/2026 19:30:00, 23/09/2026 21:45:00,Benfica TV [28],Euro83,MEO 1,Stats Perform,Handball, Portugal - Campeonato 1 - Male, Portugal, Benfica, Avanca,switch
3c52fd7c-9384-48b7-9e19-139b21867654, 10078295, 23/09/2026 19:45:00, 23/09/2026 23:45:00,696 - NBCSBA,Us7,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, San Francisco Giants, Minnesota Twins,
, 10084822, 23/09/2026 19:45:00, 23/09/2026 23:45:00,Super Sport ESPN [218],Sa1,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, San Francisco Giants, Minnesota Twins,
, 10084956, 23/09/2026 19:58:00, 24/09/2026 03:58:00,RTE 1 [101],Euro49,SKYIE-1,Legacy,Other, Irish Lotto, Republic of Ireland, , ,
9f3b6b50-cdfe-4fe7-abce-bb750bdf5620, 10075018, 23/09/2026 20:00:00, 23/09/2026 22:30:00,Stadium Feed,Euro123,LVM_CH15,Stats Perform,Soccer, Peru - Liga 1 - Male, Peru, ADT, Cienciano,
3f3c4704-519d-4234-bcd1-5591bbc642c0, 10080041, 23/09/2026 20:00:00, 23/09/2026 22:30:00,Stadium Feed,Euro125,MPR_CH02,Stats Perform,Soccer, N/C America - Concacaf Nations League - Male, N/C America, Bahamas, Saint Martin,
8479befe-d172-4b59-8431-3f2a26fe5374, 10082995, 23/09/2026 21:30:00, 24/09/2026 00:00:00,Stadium Feed,Euro128,SMP_CH09,Stats Perform,Soccer, Paraguay - Copa Paraguay - Male, Paraguay, Fernando de la Mora, Libertad,
2e16f411-d74c-42a2-bd78-4f2f5d47c5e2, 10078293, 23/09/2026 22:35:00, 24/09/2026 02:35:00,301 SNE,Us23,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, Baltimore Orioles, Toronto Blue Jays,
a172393e-f624-4b02-8b45-9948f01ecda2, 10078300, 23/09/2026 22:40:00, 24/09/2026 02:40:00,725 - Extra Innings,Us16,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, Philadelphia Phillies, Milwaukee Brewers,
2041e98e-bc00-493c-ba9b-ba8ebf1f4f2a, 10078291, 23/09/2026 22:40:00, 24/09/2026 02:40:00,659 - ATTPT Root Sports,Us13,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, Pittsburgh Pirates, St. Louis Cardinals,
506ef486-9bc4-4693-aa75-0d353af273e1, 10084077, 23/09/2026 23:00:00, 24/09/2026 01:30:00,Infront,Euro203,IGM_INF_DSC_DEFAULT,InFront Streaming,Soccer, World - Uruguay Copa - Mixed, World, Wanderers, Cerrito,
3b8d6602-6330-4bc1-9dc4-53088612338b, 10084076, 23/09/2026 23:00:00, 24/09/2026 01:30:00,Infront,Euro202,IGM_INF_DSC_DEFAULT,InFront Streaming,Soccer, World - Uruguay Copa - Mixed, World, Hill, Dep. Maldonado,
17a16529-6b9b-46f2-95dd-56f684a345d0, 10086755, 23/09/2026 23:00:00, 24/09/2026 02:00:00,315 TSN 5,Us21,Not Set,Stats Perform,Ice Hockey, United States - NHL - Male, United States, Ottawa Senators, Toronto Maple Leafs,
094501b8-a1ae-4363-b1c4-f6cde8e502c0, 10080034, 23/09/2026 23:00:00, 24/09/2026 01:30:00,Stadium Feed,Euro126,MPR_CH03,Stats Perform,Soccer, N/C America - Concacaf Nations League - Male, N/C America, Aruba, Antigua and Barbuda,
, 10086759, 23/09/2026 23:00:00, 24/09/2026 01:30:00,319 BIGTEN -S,Us24,Not Set,Legacy,Volleyball, Women's College Volleyball, United States, Missouri, Nebraska,
, 10086763, 23/09/2026 23:00:00, 24/09/2026 01:30:00,611 - SEC Network,Us11,Not Set,Legacy,Volleyball, Women's College Volleyball, United States, Georgia, South Carolina,
, 10086767, 23/09/2026 23:00:00, 24/09/2026 01:30:00,612 ACC,Us12,Not Set,Legacy,Volleyball, Women's College Volleyball, United States, Florida State, Miami,
ac5a41ec-366f-405f-b11d-6f2c07384869, 10078302, 23/09/2026 23:05:00, 24/09/2026 03:05:00,733 - Extra Innings,Us19,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, New York Yankees, Tampa Bay Rays,
a1de1c3c-03ee-45c4-8ea6-5916ce252303, 10078301, 23/09/2026 23:10:00, 24/09/2026 03:10:00,206 -ESPN 1,Us1,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, Boston Red Sox, Cleveland Guardians,
c1e39462-144b-4061-be64-f1d4c01d6c4f, 10078304, 23/09/2026 23:15:00, 24/09/2026 03:15:00,730 - Extra Innings,Us20,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, Atlanta Braves, Cincinnati Reds,
5e47178c-9ba2-43a6-8eda-a3c5658309e8, 10084448, 23/09/2026 23:30:00, 24/09/2026 02:00:00,Stadium Feed,Euro133,WBD_CH03,Stats Perform,Soccer, Chile - Copa Chile - Male, Chile, Union La Calera, Universidad Catolica,
b8201c97-d893-490c-844c-ccff4059af1d, 10078303, 23/09/2026 23:40:00, 24/09/2026 03:40:00,665 - NBCSCH,Us18,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, Kansas City Royals, Chicago White Sox,
5195759d-a54b-451d-bc51-9cffef0632a0, 10078296, 23/09/2026 23:40:00, 24/09/2026 03:40:00,664 - FSDPLS,Us8,Not Set,Stats Perform,Baseball, United States - MLB - Male, United States, Chicago Cubs, Miami Marlins,
